,IXIC,RUA,VIX,DJI,GSPC,RUT,BTCUSDT,LTCUSDT,XRPUSDT,ETHUSDT
2018-04-20,7146.129883,1584.380005,16.879998999999998,24462.939453,2670.139893,1564.119995,8856.98,155.71,,617.09
2018-04-21,7140.286621333334,1584.270019666667,16.69999933333333,24458.189453,2670.1899416666665,1563.453328333333,8915.31,148.4,,604.87
2018-04-22,7134.443359666668,1584.1600343333332,16.519999666666667,24453.439453,2670.239990333333,1562.7866616666668,8787.02,146.38,,620.92
2018-04-23,7128.600098000001,1584.050049,16.34,24448.689453,2670.290039,1562.119995,8934.01,152.56,,645.09
2018-04-24,7007.350098000001,1564.359985,18.02,24024.130859,2634.560059,1553.280029,9619.99,164.78,,701.58
2018-04-25,7003.740234000001,1566.310059,17.84,24083.830078,2639.399902,1550.469971,8869.99,144.75,,618.0
2018-04-26,7118.680176000002,1581.469971,16.24,24322.339844,2666.939941,1557.890015,9266.0,153.19,,661.51
2018-04-27,7119.799805,1582.640015,15.41,24311.189453,2669.909912,1556.23999,8915.35,144.9,,643.46
2018-04-28,7101.956543333333,1578.396688,15.583333333333336,24261.843099,2662.623291,1551.453328333333,9348.0,152.1,,682.86
2018-04-29,7084.113281666668,1574.153361,15.756666666666666,24212.496745,2655.33667,1546.666666666667,9419.0,153.5,,690.85
2018-04-30,7066.27002,1569.910034,15.93,24163.150391,2648.050049,1541.880005,9246.01,148.37,,670.78
2018-05-01,7130.700195,1574.180054,15.49,24099.050781,2654.800049,1550.329956,9071.48,148.29,,672.0
2018-05-02,7100.899901999999,1564.569946,15.97,23924.980469,2635.669922,1554.910034,9247.84,151.58,,688.56
2018-05-03,7088.149901999999,1560.619995,15.9,23930.150391,2629.72998,1546.560059,9750.0,161.38,,779.0
2018-05-04,7209.620117,1580.76001,14.77,24262.509766,2663.419922,1565.599976,9713.99,169.44,0.8899,785.99
2018-05-05,7228.150065000001,1582.9866536666666,14.763333333333335,24294.113281666665,2666.489909,1570.0499676666666,9864.0,179.04,0.9028,819.5
2018-05-06,7246.680012999999,1585.2132973333335,14.756666666666666,24325.71679733333,2669.559896,1574.4999593333334,9659.01,172.32,0.8648299999999999,794.3
2018-05-07,7265.209961,1587.439941,14.75,24357.320313,2672.629883,1578.949951,9365.0,164.59,0.8249,752.49
2018-05-08,7266.899901999999,1588.060059,14.71,24360.210938,2671.919922,1586.390015,9187.56,158.89,0.80667,748.99
2018-05-09,7339.910156,1602.579956,13.42,24542.539063,2697.790039,1596.050049,9310.0,156.72,0.79481,751.75
2018-05-10,7404.970215,1616.380005,13.23,24739.529297,2723.070068,1603.709961,9002.2,148.16,0.74558,722.52
2018-05-11,7402.879883,1618.859985,12.65,24831.169922,2727.719971,1606.790039,8400.0,136.32,0.6761,676.96
2018-05-12,7405.693196666666,1619.039998,12.743333333333334,24853.91666666667,2728.523275,1604.640014666667,8465.94,141.57,0.6852199999999999,684.11
